Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Sektor,Sistem Penjualan,Tingkat Pesaing Usaha,Proyeksi Pertumbuhan Penjualan,Kebutuhan Pembiayaan Kredit ,Nilai Aset yang data menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit,Sasaran Produk
Toko Kelontong,61.5,450.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.3,0.0,357.0,6.0,0.0
Jahit Dan Textile,43.5,270.0,3,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.25,10.0,162.0,5.0,2.0
Reparasi Jok Motor,16.5,108.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.25,10.0,4.0,4.0,2.0
Bengkel Las Alumunium,79.5,168.0,4,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.2,10.0,50.0,5.0,0.0
Bengkel Ban,55.0,270.0,2,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.25,10.0,3.0,4.0,0.0
Toko Jamu,31.5,108.0,2,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.25,5.0,0.0,3.0,1.0
TRANSAKSI PULSA,2.0,63.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.3,5.0,140.0,2.0,1.0
Toko,23.0,180.0,2,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.3,7.0,800.0,5.0,0.0
Warung Makan,10.4,400.0,3,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,10.0,9.0,4.0,0.0
Toko,17.0,216.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.08,10.0,80.0,5.0,0.0
Fotocopy,59.25,144.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.25,10.0,7.0,6.0,2.0
Kue Basah,121.0,450.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.2,10.0,77.0,4.0,2.0
Toko Sport,19.9,180.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.3,10.0,200.0,4.0,0.0
Bengkel Ban Motor,34.0,144.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.25,5.0,15.0,4.0,0.0
Industri Makanan Coklat,112.5,86.0,4,Perdagangan dan Perawatan Kendaraan,3.0,2.0,0.3,10.0,95.0,8.0,1.0
Dagang Minuman,13.1,72.0,2,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.5,10.0,7.0,5.0,0.0
Dagang Buah-Buahan,14.0,108.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.2,7.0,13.0,6.0,0.0
Dagang Voucher Handphone,23.0,108.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.15,10.0,9.0,5.0,0.0
Toko,5.0,12.0,2,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.25,5.0,0.0,4.0,0.0
Warung,14.05,20.0,2,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.1,10.0,6.0,4.0,0.0
Toko,95.0,400.0,3,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,5.0,10.0,4.0,0.0
Toko,8.0,75.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,5.0,9.0,5.0,0.0
Toko,191.0,300.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,10.0,11.0,5.0,0.0
Toko Kue,62.0,468.0,2,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.15,0.0,17.0,6.0,2.0
Toko Pakaian,40.0,325.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,,10.0,4.0,1.0
Service Power Window,29.0,144.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.15,,8.0,6.0,0.0
Toko Jamu,30.0,159.9,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.15,10.0,15.0,7.0,0.0
Toko Sembako,142.85,21.8,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,5.0,83.0,5.0,1.0
Toko Pakaian,31.0,187.2,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,,5.0,4.0,0.0
Toko Sepatu,52.0,624.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.15,10.0,6.0,5.0,0.0
"Tambal Dan Oil, Sparepart Motor",61.0,162.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.25,0.0,9.0,5.0,0.0
Warung Pulsa,27.0,128.0,3,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.4,10.0,5.0,5.0,1.0
Suplier,13.0,390.0,2,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.25,10.0,12.0,4.0,0.0
Toko,6.0,6.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,5.0,40.0,4.0,0.0
Toko,8.0,6.0,1,Perdagangan dan Perawatan Kendaraan,1.0,0.0,0.1,5.0,14.0,5.0,0.0
TOKO SEMBAKO,560.27,288.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,10.0,460.0,6.0,0.0
Penjualan Buah,220.5,140.0,5,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.15,10.0,50.0,7.0,0.0
Buah-buahan,26.5,76.0,4,Perdagangan dan Perawatan Kendaraan,1.0,0.0,0.2,10.0,10.0,6.0,0.0
Mainan Anak,311.0,26.6,1,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.2,,300.0,5.0,0.0
Jual Pulsa,3.0,30.0,1,Perdagangan dan Perawatan Kendaraan,1.0,0.0,0.2,,10.0,3.0,0.0
Warung Manisan Dan Kripik,31.0,36.0,2,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.2,10.0,90.0,4.0,0.0
Warung Manisan,19.0,36.0,1,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.1,5.0,55.0,4.0,0.0
Kelontongan,66.0,540.0,1,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.1,10.0,215.0,6.0,0.0
Dagang Kelontonngan,24.6,135.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,10.0,135.0,5.0,0.0
Udang Kis/beku,154.0,220.0,1,Perdagangan dan Perawatan Kendaraan,1.0,0.0,0.3,0.0,20.0,4.0,0.0
"Bengkel Las, Service Mesin",11.0,29.0,1,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.1,0.0,75.0,6.0,2.0
Dagang,9.5,24.0,1,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.1,5.0,147.0,5.0,0.0
Dagang Sepatu,8.3,240.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,5.0,55.0,5.0,0.0
Warung Manisan,15.0,72.0,2,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,10.0,258.0,6.0,0.0
Kelontongan,11.0,171.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,10.0,106.0,5.0,0.0
Kelontongan,45.0,288.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,10.0,406.0,6.0,0.0
Sate Bebek,112.0,148.0,3,Perdagangan dan Perawatan Kendaraan,1.0,0.0,0.05,5.0,108.0,5.0,0.0
Soto Ayam,39.0,64.0,3,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,8.0,37.0,4.0,0.0
Kios,164.0,285.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.15,0.0,150.0,6.0,0.0
Pupuk Dan Obat-obatan Pertanian,210.0,393.0,2,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.15,9.0,0.0,6.0,0.0
Penjualan Snack,124.0,321.0,1,Perdagangan dan Perawatan Kendaraan,2.0,1.0,0.1,7.0,0.0,7.0,0.0
Penjualan Sembako,117.0,107.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,4.0,0.0,6.0,0.0
Dagang Makanan,7.5,18.0,2,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.1,3.0,70.0,3.0,0.0
Warung,21.5,48.0,2,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.1,,50.0,4.0,0.0
Warung Kelontong,13.0,54.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,10.0,99.0,5.0,0.0
Dagang Kelontongan,16.0,147.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,5.0,705.0,6.0,0.0
Dagang Asesoris,940.0,1.35,2,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.25,0.0,350.0,7.0,0.0
Dagang Sembako,267.2,600.0,2,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.3,0.0,250.0,6.0,0.0
Dagang Sarana Produksi Pertanian,515.0,60.0,2,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.2,0.0,285.0,7.0,0.0
Dagang Sepau Dan Sandal,37.5,180.0,1,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.1,10.0,120.0,4.0,0.0
Dagang Topi Dan Aksesoris Sekolah,25.6,58.0,1,Perdagangan dan Perawatan Kendaraan,2.0,2.0,0.1,6.0,119.0,5.0,0.0
Dagang Ayam Kampung,14.0,390.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,10.0,55.0,5.0,1.0
Dagang Snack,30.5,84.0,1,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.1,10.0,110.0,5.0,0.0
Dagang Sembako,84.5,528.0,2,Perdagangan dan Perawatan Kendaraan,2.0,2.0,0.1,10.0,172.0,6.0,0.0
Dagang Pakaian,54.5,75.0,2,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.1,10.0,99.0,5.0,0.0
Warung Kelontongan,59.0,114.0,1,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.1,10.0,147.0,5.0,0.0
Dagang Kelontongan,55.0,667.0,2,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.2,10.0,110.0,5.0,0.0
Rumah Makan,17.0,60.6,2,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,10.0,70.0,4.0,0.0
Dagang,10.3,60.0,1,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.1,10.0,70.0,4.0,0.0
Lintas  Liwa,4.0,261.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,10.0,5.0,4.0,0.0
Perdagangan,25.3,63.0,2,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.1,,80.0,5.0,0.0
Konter Pulsa,16.2,126.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,10.0,20.0,5.0,0.0
Dagang Makanan,22.0,60.0,2,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.05,5.0,176.0,5.0,0.0
Warung Kelontong,35.0,24.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,5.0,30.0,5.0,0.0
Dagang Kue,29.0,180.0,1,Perdagangan dan Perawatan Kendaraan,2.0,2.0,0.2,0.0,288.0,6.0,1.0
Dagang Sayuran,3.0,62.79,1,Perdagangan dan Perawatan Kendaraan,2.0,2.0,0.3,10.0,68.0,5.0,0.0
Caf,2.0,92.0,4,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.2,5.0,60.0,9.0,1.0
Jual Minyak,377.0,150.0,2,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.3,10.0,6.0,4.0,1.0
Toko Kelontong,31.0,36.0,2,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.1,,171.0,9.0,0.0
Warung Sayur,35.0,48.0,2,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.2,0.0,267.0,8.0,0.0
Alat Tulis,271.0,420.0,2,Perdagangan dan Perawatan Kendaraan,1.0,0.0,0.3,0.0,150.0,5.0,0.0
Sembako,141.1,114.0,1,Perdagangan dan Perawatan Kendaraan,1.0,0.0,0.3,8.0,110.0,6.0,0.0
Sembako,186.75,55.5,1,Perdagangan dan Perawatan Kendaraan,1.0,0.0,0.2,9.0,184.0,4.0,0.0
Kelontongan,71.5,60.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.15,7.0,58.0,4.0,0.0
Dagang Retail,107.5,42.0,0,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,10.0,110.0,4.0,0.0
Penjualan Busana,36.5,94.0,1,Perdagangan dan Perawatan Kendaraan,2.0,2.0,0.2,0.0,8.0,4.0,1.0
Kios Sembako,81.0,291.0,1,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.1,0.0,32.0,6.0,0.0
Bengkel Motor ,71.0,75.0,2,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.1,0.0,10.0,5.0,2.0
Kios ,260.0,50.0,2,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.05,10.0,150.0,5.0,0.0
KEDAI SAMPAH,221.63,406.0,3,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.05,10.0,65.0,6.0,0.0
"M-Kios, Counter",848.0,2.76,1,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.3,0.0,847.0,7.0,0.0
Bengkel Dinamo,61.0,57.0,2,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.2,0.0,17.0,6.0,1.0
Kios,195.0,72.0,0,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.2,0.0,205.0,7.0,0.0
Bengkel Motor,15.0,62.0,2,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.15,0.0,10.0,4.0,1.0
Warung Sembako Dan Sayuran,35.0,39.0,2,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,0.0,99.0,5.0,0.0
Toko Kelontong,41.0,72.0,2,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.1,0.0,55.0,5.0,0.0
Toko Kelontong,60.0,97.0,2,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.1,8.0,82.0,8.0,0.0
Penjualan Telur Asin,30.0,49.0,2,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.1,4.0,215.0,7.0,1.0
Warung Sembako Dan Sayuran,43.0,162.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,4.0,142.0,5.0,0.0
Warung Sembako Dan Sayuran,50.0,126.0,3,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.2,,20.0,5.0,0.0
Warung Sayur,38.0,146.0,2,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.1,,130.0,3.0,0.0
Kounter HP,48.0,190.0,3,Perdagangan dan Perawatan Kendaraan,1.0,0.0,0.1,9.0,173.0,6.0,0.0
Warung Sembako,63.0,162.0,1,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.2,,100.0,4.0,0.0
Penjualan Pulsa (kounter),33.0,120.0,3,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.15,,100.0,6.0,0.0
Toko Kelontong,66.0,78.0,2,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.1,,100.0,7.0,0.0
Perlengkapan Sholat,266.0,11.4,0,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.5,7.0,200.0,5.0,0.0
Variasi Motor,55.9,12.3,0,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.75,5.0,33.0,7.0,0.0
Minimarket,344.5,660.0,0,Perdagangan dan Perawatan Kendaraan,1.0,0.0,0.15,0.0,330.0,8.0,0.0
Alat Listrik,410.0,39.0,0,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.3,5.0,310.0,4.0,0.0
Sepatu,182.0,46.0,2,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.5,10.0,150.0,6.0,0.0
Warung Klontongan,335.5,111.5,0,Perdagangan dan Perawatan Kendaraan,1.0,0.0,0.3,5.0,300.0,6.0,0.0
Dagang Voucher Handphone,18.0,108.0,2,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.15,10.0,11.0,5.0,0.0
Bengkel Motor,77.0,30.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,5.0,65.0,5.0,0.0
Warung Kelontong,29.0,68.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.05,8.0,28.0,4.0,0.0
Warung Kelontong,35.0,25.0,1,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.05,5.0,30.0,4.0,0.0
Warung,47.0,36.0,2,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,5.0,70.0,6.0,0.0
Warung Sayuran,69.0,30.0,1,Perdagangan dan Perawatan Kendaraan,1.0,0.0,0.05,10.0,40.0,5.0,0.0
Warung Kelontong,19.0,30.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.05,10.0,50.0,4.0,0.0
Warung Kelontong,31.0,36.0,1,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.05,5.0,0.0,7.0,0.0
Soto Kudus,29.0,56.0,2,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.1,5.0,50.0,5.0,0.0
Warung Kelontong,53.0,60.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,5.0,50.0,5.0,0.0
Warung Kelontong,35.0,48.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.05,6.0,158.0,5.0,0.0
Warung Kelontong,31.0,21.0,1,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.1,10.0,65.0,4.0,0.0
Dagang,28.0,36.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,10.0,27.0,5.0,0.0
Warung Kelontong,49.0,64.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.2,10.0,970.0,6.0,0.0
Bengkel,21.0,45.0,1,Perdagangan dan Perawatan Kendaraan,1.0,0.0,0.1,10.0,150.0,6.0,0.0
Dagang Makanan Dan Minuman,34.0,42.0,2,Perdagangan dan Perawatan Kendaraan,1.0,0.0,0.05,5.0,245.0,6.0,0.0
Warung Makan,27.0,26.0,2,Perdagangan dan Perawatan Kendaraan,1.0,0.0,0.1,10.0,195.0,5.0,0.0
Konter HP,14.0,48.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.05,10.0,150.0,4.0,0.0
Menjual Baju,158.25,240.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.5,,8.0,8.0,1.0
Warung Manisan,307.0,524.0,3,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.1,5.0,129.0,5.0,0.0
Dagang Meubel,60.8,260.0,3,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,0.0,50.0,9.0,2.0
Dagang Pot Bunga,38.02,40.5,3,Perdagangan dan Perawatan Kendaraan,2.0,2.0,0.15,3.0,3.0,5.0,0.0
Toko Pracangan,77.6,236.4,2,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.3,10.0,50.0,5.0,0.0
Nasi Dan Mie Goreng,135.0,164.0,2,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.2,0.0,150.0,6.0,0.0
Dagang Mainan,194.5,1.35,5,Perdagangan dan Perawatan Kendaraan,2.0,2.0,0.9,0.0,,13.0,0.0
Dagang Tanaman Hias,166.65,72.0,5,Perdagangan dan Perawatan Kendaraan,2.0,2.0,0.2,0.0,250.0,4.0,0.0
Dagang Tanaman Hias,0.100341,32.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.2,,,5.0,0.0
Dagang Tanaman Hias,156.45,130.0,2,Perdagangan dan Perawatan Kendaraan,1.0,0.0,0.15,0.0,0.0,4.0,2.0
Dagang Pakaian,55.6,170.0,1,Perdagangan dan Perawatan Kendaraan,1.0,0.0,0.2,0.0,600.0,9.0,0.0
Dagang Beras,80.75,540.0,2,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,0.0,350.0,5.0,1.0
Dagang Beras,28.28,175.0,2,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,10.0,100.0,4.0,0.0
Dagang Ikan Hias,34.34,108.0,2,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.1,10.0,100.0,4.0,0.0
Dagang Material Bangunan,357.0,120.0,7,Perdagangan dan Perawatan Kendaraan,3.0,2.0,0.5,6.0,50.0,6.0,2.0
Dagang Tas dan Sandal,78.8,162.0,4,Perdagangan dan Perawatan Kendaraan,2.0,0.0,0.5,10.0,25.0,6.0,1.0
Dagang Tas Natural,22.2,85.0,2,Perdagangan dan Perawatan Kendaraan,2.0,0.0,0.3,3.0,9.0,6.0,2.0
Barang Bekas,5.0,432.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,10.0,16.0,5.0,0.0
Pakaian,113.0,500.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,10.0,0.0,1.0,0.0
Sendal,116.0,360.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,10.0,0.0,2.0,0.0
Sembako,16.3,180.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,5.0,16.0,5.0,0.0
Sembako,110.5,480.0,2,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,10.0,8.0,5.0,0.0
Tas Rajut,21.0,600.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,10.0,8.0,4.0,0.0
Kelontongan,130.0,720.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,10.0,10.0,2.0,0.0
Tenda Kemah,7.0,72.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,5.0,0.0,3.0,0.0
Sembako,130.0,108.0,2,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,10.0,14.0,5.0,0.0
Peralatan Listrik,110.5,600.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,10.0,10.0,5.0,0.0
Masker,10.9,108.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,10.0,8.0,5.0,0.0
Mainan,8.9,108.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,5.0,10.0,5.0,0.0
Perdagangan,24.0,324.0,7,Perdagangan dan Perawatan Kendaraan,1.0,0.0,0.2,8.0,30.0,4.0,0.0
Perdagangan Pulsa,62.5,1.715,2,Perdagangan dan Perawatan Kendaraan,1.0,0.0,0.1,8.0,0.0,2.0,0.0
Perdagangan Aksesoris,169.0,45.0,3,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.25,10.0,250.0,4.0,0.0
RUMAH MAKAN,15.0,564.0,6,Perdagangan dan Perawatan Kendaraan,1.0,0.0,0.1,10.0,600.0,4.0,2.0
STIKER,9.0,63.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.05,5.0,12.0,4.0,2.0
PONSEL,42.0,13.0,3,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.5,2.0,80.0,3.0,1.0
ATK,12.0,156.0,1,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.5,5.0,12.0,4.0,1.0
"SERVIS,JUAL SPARE PART",8.0,2.0,2,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.5,5.0,70.0,3.0,1.0
AIR ISI ULANG,35.0,92.0,3,Perdagangan dan Perawatan Kendaraan,1.0,0.0,0.1,10.0,125.0,5.0,1.0
AIR ISI ULANG,41.0,83.0,2,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.15,5.0,125.0,5.0,1.0
AIR ISI ULANG,38.0,348.0,2,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.2,10.0,125.0,6.0,1.0
Bengkel Sepeda Motor,36.0,62.0,1,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.1,10.0,20.0,4.0,2.0
Jual Barang Kelontong,18.0,432.0,3,Perdagangan dan Perawatan Kendaraan,3.0,1.0,0.9,10.0,40.0,4.0,2.0
DVD/VCD,18.0,72.0,2,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.2,10.0,12.0,5.0,2.0
RUMAH MAKAN,616.0,246.0,3,Perdagangan dan Perawatan Kendaraan,1.0,0.0,0.05,10.0,500.0,5.0,2.0
PISANG SALE,23.0,396.0,2,Perdagangan dan Perawatan Kendaraan,1.0,0.0,0.1,5.0,13.0,5.0,2.0
MAKANAN/MINUMAN,9.0,504.0,5,Perdagangan dan Perawatan Kendaraan,1.0,0.0,0.03,10.0,150.0,5.0,2.0
Dagang Pancarekenan,60.17,108.0,1,Perdagangan dan Perawatan Kendaraan,3.0,1.0,0.1,10.0,38.0,6.0,0.0
Dagang Beras,107.0,180.0,5,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.05,1.0,7.0,4.0,0.0
Dagang Tanggui,81.5,40.0,3,Perdagangan dan Perawatan Kendaraan,2.0,1.0,0.1,,7.0,4.0,0.0
Dagang Makanan & Minuman Ringan,5.5,121.0,2,Perdagangan dan Perawatan Kendaraan,1.0,0.0,0.5,5.0,0.0,3.0,0.0
Dagang Karpet,160.5,725.0,4,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.6,10.0,0.0,3.0,0.0
"Dagang Handphone, Aksesoris, pulsa",7.8,174.0,3,Perdagangan dan Perawatan Kendaraan,1.0,0.0,0.05,5.0,118.0,4.0,0.0
Dagang sembako dan pancarekenan,11.15,108.0,3,Perdagangan dan Perawatan Kendaraan,1.0,0.0,0.5,10.0,58.0,5.0,0.0
Dagang kue basah dan kue kering,34.4,411.0,6,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.5,0.0,90.0,7.0,2.0
Dagang Amplang,34.4,528.0,1,Perdagangan dan Perawatan Kendaraan,2.0,1.0,0.35,10.0,75.0,4.0,0.0
Dagang bahan bangunan,31.2,109.5,3,Perdagangan dan Perawatan Kendaraan,1.0,0.0,0.25,0.0,75.0,6.0,0.0
Dagang Pancarekenan,2.45,28.0,3,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.2,,6.0,4.0,0.0
Dagang Pancarekenan,4.25,66.0,1,Perdagangan dan Perawatan Kendaraan,3.0,1.0,0.1,,10.0,4.0,0.0
Dagang Minyak Harum,6.5,47.5,1,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.6,5.0,0.0,3.0,0.0
Dagang Busana perempuan,11.5,109.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.6,10.0,0.0,3.0,0.0
Dagang Baju anak muda,13.5,111.0,1,Perdagangan dan Perawatan Kendaraan,1.0,0.0,0.5,10.0,0.0,3.0,0.0
Dagang Buku,8.5,107.0,1,Perdagangan dan Perawatan Kendaraan,1.0,2.0,0.5,5.0,0.0,3.0,0.0
"Dagang Gula, telur",21.1,122.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.1,2.0,15.0,4.0,0.0
Dagang Voucher dan Aksesoris HP,23.0,290.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.4,9.0,15.0,4.0,0.0
Rumah Makan,27.5,169.0,1,Perdagangan dan Perawatan Kendaraan,1.0,0.0,0.1,3.0,15.0,4.0,0.0
"Dagang Goreng-gorengan (tahu, tempe, pisang goreng)",1.5,114.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.5,1.0,0.0,2.0,0.0
Dagang Beras,15.0,364.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.3,8.0,0.0,3.0,0.0
Dagang Parfum,8.5,114.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.25,5.0,58.0,5.0,0.0
Dagang Bensin,2.5,106.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.5,2.0,40.0,4.0,0.0
"Dagang Sembako, makanan dan minuman ringan",14.0,249.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.2,1.0,80.0,4.0,0.0
Dagang Beras,17.5,180.0,1,Perdagangan dan Perawatan Kendaraan,1.0,1.0,0.3,5.0,8.0,0.0,0.0
