Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor
 Matahari,Tenun,172.430.000,43.620.000,1,2013,?pm=TCgakOAFEaji1mJ5SaWJEg==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Sitti Nahriyah M,Tenun,174.950.000,44.300.000,1,2013,?pm=LtYW2AZqxlvUxul1U+/oKA==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Gusnawati,Tenun,162.380.000,57.100.000,1,2013,?pm=S8moL33JAMir6A6ibJdXWw==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Iirajeng,Tenun,162.180.000,41.200.000,1,2013,?pm=XCjn0jl5i79z1zxXwJkd7g==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Meubel Rotan Tunas Harapan ,Meubel Rotan Kursi,68,156,4,2012,?pm=jHxGi7tq0pgf5Z+pUAhI0g==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Industri Pengolahan
 Industri Kecambah,Industri Kecambah,"87,4",252,3,2011,?pm=mdV0LSvZ0KEKYx1fjrEbAw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Industri Pengolahan
 Industri Mainan,Industri Mainan,"33,7","91,2",1,2011,?pm=vv0xZKKYVNsDIWhPpbZ1IQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Industri Pengolahan
 Industri Keripik,Industri Keripik,"90,78","11,1",1,2011,?pm=bRZcWdqGwYqwiqLn6VuZbQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Industri Pengolahan
 Batik Tulis Ibu Sartirun,Batik Tulis,47,142,15,2012,?pm=G61zcvFzbUyDqQPfKdPiBA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Industri Pengolahan
 Krupuk Haa Putra,Krupuk Kulit,124,148,3,2009,?pm=YO4qy9ZVfpmgWBlF18nVQQ==&mp=2BbfzMJpZb2nANZ3GT30ng==,Industri Pengolahan
 Sagon Garuda,Sagon,60,96,22,2009,?pm=Nz2JXVVgdtxDmoBVCYIrNA==&mp=2BbfzMJpZb2nANZ3GT30ng==,Industri Pengolahan
 Anwar Collection,Kaos,40,116,3,2009,?pm=1TnDeQvh+fIy3Qllr1VNnw==&mp=2BbfzMJpZb2nANZ3GT30ng==,Industri Pengolahan
" Krecek Sunaryo""",Krecek Kulit,"173,5",148,2,2009,?pm=bYmobDQd9s5v6M/myN+IeA==&mp=2BbfzMJpZb2nANZ3GT30ng==,Industri Pengolahan
" Genteng ""JTS""",Genteng ,96,176,4,2009,?pm=de0UOZf1qLR1ZMI0Xn3xyQ==&mp=2BbfzMJpZb2nANZ3GT30ng==,Industri Pengolahan
" Sale Pisang ""Faisal""",Sale Pisang,69,260,3,2009,?pm=99dApypsC7ASFUbo6lzmeg==&mp=2BbfzMJpZb2nANZ3GT30ng==,Industri Pengolahan
 Batik Tulis,Garmen / Batik,"5,03",10,1,2014,?pm=9/mn/tG3blONK0Up4s+VHQ==&mp=xI6rAeQkygTAn3Z625IGLg==,Industri Pengolahan
 Pupuk Kandang Ilham,Pengolahan Pupuk Kandang,"22,2",6,2,2014,?pm=66dBcar+FPoXTKjcIalqFg==&mp=xI6rAeQkygTAn3Z625IGLg==,Industri Pengolahan
